request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Send the full amount of IDR 15,656,000 today (3 August 2025) with no spending changes. The projected balance will remain at or above the required minimum balance of IDR 24,768,300 over the 90-day forecast."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 in full today, 5 July 2026, with no spending changes needed. This payment keeps your projected balance well above your ZAR 20,500 minimum balance over the 90-day forecast."
request_28,109.42,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,Pay EUR 1302.40 in full on 2024-08-15 without spending changes. The projected balance stays at or above the EUR 1100 minimum throughout the forecast.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 in full today on 2025-11-04. This payment plan keeps the cash balance at or above the minimum balance of ZAR 28300.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. None of the available options keeps the IDR 16588900 minimum protected.
request_32,10400.48,affordable_later,wait,2025-03-15:40018,2025-03-15,none,Pay ZAR 40018 in full on 2025-04-15 without any spending changes. This maintains the cash balance at or above the ZAR 35700 minimum throughout the projection period.
request_33,32244.45,affordable_later,wait,2026-02-15:118000,2026-02-15,none,Pay INR 118000 in full on 2026-02-15. Paying earlier would take the balance below the INR 102100 minimum.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 in full today on 4 December 2024 with no spending changes needed. This payment leaves the projected cash balance at or above the minimum balance of INR 138500 throughout the 90-day forecast.
request_35,52739.81,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait and pay INR 212,000 in full on 2026-01-15 with no spending changes. The projected balance stays at or above the minimum balance of INR 106,400."
request_36,921.23,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Pay USD 3,954 in full on 2026-09-15. This scheduled payment keeps the running balance at or above the required USD 2,400 minimum throughout the projection."
request_37,1371836.96,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,Pay IDR 14649000 in full on 2024-05-15 without any spending changes. This keeps the account balance at or above the IDR 17056200 minimum throughout the forecast.
request_38,225.42,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,Wait and pay EUR 971.30 in full on 2025-09-15 without any spending changes. This keeps the cash balance at or above the minimum balance of EUR 400.00.
request_39,57816.64,affordable_later,wait,2026-05-15:208600,2026-05-15,none,"Wait until 2026-05-15 to pay INR 208,600 in full without any spending changes. This schedule ensures the running balance stays at or above the required minimum balance of INR 213,400."
request_40,324.04,affordable_later,wait,2024-07-15:1290.30,2024-07-15,none,Pay EUR 1290.3 in full on 2024-07-15. Paying earlier would take the balance below the EUR 1500 minimum.
request_41,7951289.06,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,Pay IDR 38760000 in full on 2025-12-15. Paying earlier would take the balance below the IDR 25366600 minimum.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 in full on 5 January 2026 with no spending changes. This keeps the 90-day cash ledger at or above the minimum balance of INR 113,100."
request_43,9868266.98,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,Pay IDR 43339000 in full on 2024-10-15. Paying earlier would take the balance below the IDR 21398000 minimum.
request_44,25994.67,affordable_later,wait,2025-03-15:95800,2025-03-15,none,Pay INR 95800 in full on 2025-04-15. This wait schedule ensures the cash balance stays at or above the INR 82900 minimum_balance_to_keep.
request_45,5270814.53,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,Wait and pay IDR 21983000 in full on 2026-08-15 without any spending changes. This projected cash walk stays at or above the IDR 11149800 minimum balance.
request_46,16779.69,affordable_with_plan,partial_payment,2024-12-03:16779.69|2024-12-15:32670.31,2024-12-15,none,Pay INR 16779.69 today and the remaining INR 32670.31 on 2024-12-15. This completes the full request and keeps the INR 84000 minimum protected.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38114000 in full today, 5 May 2025. This payment and all projected living expenses keep the 90-day cash balance at or above the required minimum of IDR 30049000."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 in full on 2026-07-25. The projected cash balance stays at or above the required minimum balance of INR 71,300 throughout the 90-day forecast."
request_49,9270977.65,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11902106.67 starting 18 March 2024, 18 April 2024, and 19 May 2024 with no spending changes. This ensures the balance stays at or above the minimum balance of IDR 20275700 throughout."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 in full on 6 August 2025 with no spending changes. This ensures the projected cash balance stays at or above the required minimum of INR 99700 throughout the 90-day forecast.
